,county_name,fips,population,Date,dailycases_p100k_7d_avg,R_mean,R_low,R_high
1442,Lehigh,42077,369318,2020-11-22,182.14285714285717,1.17375400335581,1.12023407047753,1.22831981063425
1479,Luzerne,42079,317417,2020-11-22,183.28571428571428,1.18574452005203,1.13184487325001,1.2406941427713
1516,Lycoming,42081,113299,2020-11-22,54.57142857142857,1.2778995889806999,1.17242462095647,1.3871677776522902
1553,McKean,42083,40625,2020-11-22,14.142857142857142,1.27869638355303,1.07588589493825,1.4960381270237602
1590,Mercer,42085,109424,2020-11-22,72.85714285714286,1.11370768154273,1.03392765342402,1.19596556445628
1627,Mifflin,42087,46138,2020-11-22,60.42857142857143,1.24363271557921,1.1459851392500902,1.3446148813638796
1664,Monroe,42089,170271,2020-11-22,45.714285714285715,1.08403815697336,0.9864726712668828,1.18544281684633
1701,Montgomery,42091,830915,2020-11-22,301.57142857142856,1.0649741492606701,1.02714591033873,1.103375719363
1738,Montour,42093,18230,2020-11-22,6.2857142857142865,1.23673383339617,0.949894451062312,1.55478426304498
1775,Northampton,42095,305285,2020-11-22,142.57142857142858,1.1833860451903602,1.12248237326872,1.2456365352903602
1812,Northumberland,42097,90843,2020-11-22,43.42857142857143,1.33938397450956,1.2157808461018502,1.46797939157518
1849,Perry,42099,46272,2020-11-22,12.857142857142858,1.20448768975515,1.0045933557818398,1.4194229027673102
1886,Philadelphia,42101,1584064,2020-11-22,908.2857142857144,1.06213895463239,1.04032574579085,1.08414207894675
1923,Pike,42103,55809,2020-11-22,10.0,1.17292664489917,0.953730761464911,1.4108919659608399
1960,Potter,42105,16526,2020-11-22,6.2857142857142865,1.41617871532891,1.08772014404215,1.7803769257336295
1997,Schuylkill,42107,141359,2020-11-22,73.14285714285714,1.1053185066729398,1.02629146275879,1.18679515408553
2034,Snyder,42109,40372,2020-11-22,24.714285714285715,1.1628409985478998,1.0217369057774301,1.3115414825582499
2071,Somerset,42111,73447,2020-11-22,78.0,1.4808728288756299,1.3782864029859998,1.5865371866556799
2108,Sullivan,42113,6066,2020-11-22,1.5714285714285714,1.14249543288438,0.659240097757655,1.73350015631956
2145,Susquehanna,42115,40328,2020-11-22,9.428571428571429,1.3999079909194698,1.1309646003476599,1.69258934457566
2182,Tioga,42117,40591,2020-11-22,34.0,1.19630699522057,1.0719323830854801,1.3263716803891201
2219,Union,42119,44923,2020-11-22,43.57142857142857,1.3987453186957,1.26987078094079,1.5328163680555298
2256,Venango,42121,50668,2020-11-22,24.42857142857143,1.1455838396346,1.00579089058154,1.2929474373446102
2293,Warren,42123,39191,2020-11-22,7.428571428571429,1.3510205286352,1.0609368153768601,1.6700583961586999
2330,Washington,42125,206865,2020-11-22,104.42857142857143,1.0913321443298598,1.02584235974076,1.15851698978605
2367,Wayne,42127,51361,2020-11-22,8.0,1.4021959465894198,1.11131545701542,1.7210205438953399
2404,Westmoreland,42129,348899,2020-11-22,198.7142857142857,1.1360594549088898,1.08644259538887,1.18660424713142
2441,Wyoming,42131,26794,2020-11-22,11.857142857142858,1.02214109796735,0.8458729269991809,1.2122360819650801
2478,York,42133,449058,2020-11-22,226.85714285714286,1.56617900736058,1.50211827403126,1.6313604016664198
